"Province.State","Country.Region","Lat","Long","date","cases","type"
"","Afghanistan",33,65,2020-01-22,0,"confirmed"
"","Afghanistan",33,65,2020-01-23,0,"confirmed"
"","Afghanistan",33,65,2020-01-24,0,"confirmed"
"","Afghanistan",33,65,2020-01-25,0,"confirmed"
"","Afghanistan",33,65,2020-01-26,0,"confirmed"
"","Afghanistan",33,65,2020-01-27,0,"confirmed"
"","Afghanistan",33,65,2020-01-28,0,"confirmed"
"","Afghanistan",33,65,2020-01-29,0,"confirmed"
"","Afghanistan",33,65,2020-01-30,0,"confirmed"
"","Afghanistan",33,65,2020-01-31,0,"confirmed"
"","Afghanistan",33,65,2020-02-01,0,"confirmed"
"","Afghanistan",33,65,2020-02-02,0,"confirmed"
"","Afghanistan",33,65,2020-02-03,0,"confirmed"
"","Afghanistan",33,65,2020-02-04,0,"confirmed"
"","Afghanistan",33,65,2020-02-05,0,"confirmed"
"","Afghanistan",33,65,2020-02-06,0,"confirmed"
"","Afghanistan",33,65,2020-02-07,0,"confirmed"
"","Afghanistan",33,65,2020-02-08,0,"confirmed"
"","Afghanistan",33,65,2020-02-09,0,"confirmed"
"","Afghanistan",33,65,2020-02-10,0,"confirmed"
"","Afghanistan",33,65,2020-02-11,0,"confirmed"
"","Afghanistan",33,65,2020-02-12,0,"confirmed"
"","Afghanistan",33,65,2020-02-13,0,"confirmed"
"","Afghanistan",33,65,2020-02-14,0,"confirmed"
"","Afghanistan",33,65,2020-02-15,0,"confirmed"
"","Afghanistan",33,65,2020-02-16,0,"confirmed"
"","Afghanistan",33,65,2020-02-17,0,"confirmed"
"","Afghanistan",33,65,2020-02-18,0,"confirmed"
"","Afghanistan",33,65,2020-02-19,0,"confirmed"
"","Afghanistan",33,65,2020-02-20,0,"confirmed"
"","Afghanistan",33,65,2020-02-21,0,"confirmed"
"","Afghanistan",33,65,2020-02-22,0,"confirmed"
"","Afghanistan",33,65,2020-02-23,0,"confirmed"
"","Afghanistan",33,65,2020-02-24,1,"confirmed"
"","Afghanistan",33,65,2020-02-25,0,"confirmed"
"","Afghanistan",33,65,2020-02-26,0,"confirmed"
"","Afghanistan",33,65,2020-02-27,0,"confirmed"
"","Afghanistan",33,65,2020-02-28,0,"confirmed"
"","Afghanistan",33,65,2020-02-29,0,"confirmed"
"","Afghanistan",33,65,2020-03-01,0,"confirmed"
"","Afghanistan",33,65,2020-03-02,0,"confirmed"
"","Afghanistan",33,65,2020-03-03,0,"confirmed"
"","Afghanistan",33,65,2020-03-04,0,"confirmed"
"","Afghanistan",33,65,2020-03-05,0,"confirmed"
"","Afghanistan",33,65,2020-03-06,0,"confirmed"
"","Afghanistan",33,65,2020-03-07,0,"confirmed"
"","Afghanistan",33,65,2020-03-08,3,"confirmed"
"","Afghanistan",33,65,2020-03-09,0,"confirmed"
"","Afghanistan",33,65,2020-03-10,1,"confirmed"
"","Afghanistan",33,65,2020-03-11,2,"confirmed"
"","Afghanistan",33,65,2020-03-12,0,"confirmed"
"","Afghanistan",33,65,2020-03-13,0,"confirmed"
"","Afghanistan",33,65,2020-03-14,4,"confirmed"
"","Afghanistan",33,65,2020-03-15,5,"confirmed"
"","Afghanistan",33,65,2020-03-16,5,"confirmed"
"","Afghanistan",33,65,2020-03-17,1,"confirmed"
"","Afghanistan",33,65,2020-03-18,0,"confirmed"
"","Afghanistan",33,65,2020-03-19,0,"confirmed"
"","Afghanistan",33,65,2020-03-20,2,"confirmed"
"","Afghanistan",33,65,2020-03-21,0,"confirmed"
"","Afghanistan",33,65,2020-03-22,16,"confirmed"
"","Afghanistan",33,65,2020-03-23,0,"confirmed"
"","Afghanistan",33,65,2020-03-24,34,"confirmed"
"","Afghanistan",33,65,2020-03-25,10,"confirmed"
"","Afghanistan",33,65,2020-03-26,10,"confirmed"
"","Afghanistan",33,65,2020-03-27,16,"confirmed"
"","Afghanistan",33,65,2020-03-28,0,"confirmed"
"","Afghanistan",33,65,2020-03-29,10,"confirmed"
"","Afghanistan",33,65,2020-03-30,50,"confirmed"
"","Afghanistan",33,65,2020-03-31,4,"confirmed"
"","Afghanistan",33,65,2020-04-01,63,"confirmed"
"","Afghanistan",33,65,2020-04-02,36,"confirmed"
"","Afghanistan",33,65,2020-04-03,8,"confirmed"
"","Afghanistan",33,65,2020-04-04,18,"confirmed"
"","Afghanistan",33,65,2020-04-05,50,"confirmed"
"","Afghanistan",33,65,2020-04-06,18,"confirmed"
"","Afghanistan",33,65,2020-04-07,56,"confirmed"
"","Afghanistan",33,65,2020-04-08,21,"confirmed"
"","Afghanistan",33,65,2020-04-09,40,"confirmed"
"","Afghanistan",33,65,2020-04-10,37,"confirmed"
"","Afghanistan",33,65,2020-04-11,34,"confirmed"
"","Afghanistan",33,65,2020-04-12,52,"confirmed"
"","Afghanistan",33,65,2020-04-13,58,"confirmed"
"","Afghanistan",33,65,2020-04-14,49,"confirmed"
"","Afghanistan",33,65,2020-04-15,70,"confirmed"
"","Afghanistan",33,65,2020-04-16,56,"confirmed"
"","Afghanistan",33,65,2020-04-17,66,"confirmed"
"","Afghanistan",33,65,2020-04-18,27,"confirmed"
"","Afghanistan",33,65,2020-04-19,63,"confirmed"
"","Afghanistan",33,65,2020-04-20,30,"confirmed"
"","Afghanistan",33,65,2020-04-21,66,"confirmed"
"","Afghanistan",33,65,2020-04-22,84,"confirmed"
"","Afghanistan",33,65,2020-04-23,103,"confirmed"
"","Afghanistan",33,65,2020-04-24,72,"confirmed"
"","Afghanistan",33,65,2020-04-25,112,"confirmed"
"","Afghanistan",33,65,2020-04-26,68,"confirmed"
"","Afghanistan",33,65,2020-04-27,172,"confirmed"
"","Afghanistan",33,65,2020-04-28,125,"confirmed"
"","Afghanistan",33,65,2020-04-29,111,"confirmed"
"","Afghanistan",33,65,2020-04-30,232,"confirmed"
"","Afghanistan",33,65,2020-05-01,164,"confirmed"
"","Afghanistan",33,65,2020-05-02,134,"confirmed"
"","Afghanistan",33,65,2020-05-03,235,"confirmed"
"","Afghanistan",33,65,2020-05-04,190,"confirmed"
"","Afghanistan",33,65,2020-05-05,330,"confirmed"
"","Afghanistan",33,65,2020-05-06,168,"confirmed"
"","Afghanistan",33,65,2020-05-07,171,"confirmed"
"","Afghanistan",33,65,2020-05-08,215,"confirmed"
"","Afghanistan",33,65,2020-05-09,255,"confirmed"
"","Afghanistan",33,65,2020-05-10,369,"confirmed"
"","Afghanistan",33,65,2020-05-11,285,"confirmed"
"","Afghanistan",33,65,2020-05-12,276,"confirmed"
"","Afghanistan",33,65,2020-05-13,263,"confirmed"
"","Afghanistan",33,65,2020-05-14,413,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-22,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-23,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-24,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-25,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-26,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-27,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-28,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-29,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-30,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-01-31,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-01,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-02,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-03,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-04,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-05,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-06,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-07,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-08,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-09,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-10,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-11,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-12,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-13,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-14,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-15,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-16,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-17,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-18,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-19,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-20,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-21,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-22,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-23,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-24,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-25,1,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-26,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-27,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-28,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-02-29,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-01,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-02,2,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-03,2,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-04,7,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-05,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-06,5,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-07,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-08,2,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-09,1,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-10,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-11,0,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-12,4,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-13,2,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-14,11,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-15,11,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-16,6,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-17,6,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-18,14,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-19,13,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-20,3,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-21,49,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-22,62,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-23,29,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-24,34,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-25,38,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-26,65,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-27,42,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-28,45,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-29,57,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-30,73,"confirmed"
"","Algeria",28.0339,1.6596,2020-03-31,132,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-01,131,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-02,139,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-03,185,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-04,80,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-05,69,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-06,103,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-07,45,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-08,104,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-09,94,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-10,95,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-11,64,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-12,89,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-13,69,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-14,87,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-15,90,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-16,108,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-17,150,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-18,116,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-19,95,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-20,89,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-21,93,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-22,99,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-23,97,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-24,120,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-25,129,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-26,126,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-27,135,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-28,132,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-29,199,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-30,158,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-01,148,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-02,141,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-03,179,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-04,174,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-05,190,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-06,159,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-07,185,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-08,187,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-09,189,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-10,165,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-11,168,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-12,176,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-13,186,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-14,189,"confirmed"
"","Austria",47.5162,14.5501,2020-01-22,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-23,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-24,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-25,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-26,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-27,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-28,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-29,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-30,0,"confirmed"
